cycle,router,eject,eject_sources,arrive,forward
413,"(0,0)",1,109,1,1
417,"(0,0)",1,110,1,1
421,"(0,0)",1,111,1,1
425,"(0,0)",1,112,1,1
429,"(0,0)",1,113,1,1
433,"(0,0)",1,114,1,1
437,"(0,0)",1,115,1,1
441,"(0,0)",1,116,1,1
445,"(0,0)",1,117,1,1
449,"(0,0)",1,118,1,1
453,"(0,0)",1,119,1,1
461,"(0,0)",1,107,1,1
465,"(0,0)",1,106,1,1
469,"(0,0)",1,105,1,1
473,"(0,0)",1,104,1,1
477,"(0,0)",1,103,1,1
481,"(0,0)",1,102,1,1
485,"(0,0)",1,101,1,1
489,"(0,0)",1,100,1,1
493,"(0,0)",1,99,1,1
497,"(0,0)",1,98,1,1
501,"(0,0)",1,97,1,1
509,"(0,0)",1,85,1,1
513,"(0,0)",1,86,1,1
517,"(0,0)",1,87,1,1
521,"(0,0)",1,88,1,1
525,"(0,0)",1,89,1,1
529,"(0,0)",1,90,1,1
533,"(0,0)",1,91,1,1
537,"(0,0)",1,92,1,1
541,"(0,0)",1,93,1,1
545,"(0,0)",1,94,1,1
549,"(0,0)",1,95,1,1
557,"(0,0)",1,83,1,1
561,"(0,0)",1,82,1,1
565,"(0,0)",1,81,1,1
569,"(0,0)",1,80,1,1
573,"(0,0)",1,79,1,1
577,"(0,0)",1,78,1,1
581,"(0,0)",1,77,1,1
585,"(0,0)",1,76,1,1
589,"(0,0)",1,75,1,1
593,"(0,0)",1,74,1,1
597,"(0,0)",1,73,1,1
605,"(0,0)",1,61,1,1
609,"(0,0)",1,62,1,1
613,"(0,0)",1,63,1,1
617,"(0,0)",1,64,1,1
621,"(0,0)",1,65,1,1
625,"(0,0)",1,66,1,1
629,"(0,0)",1,67,1,1
633,"(0,0)",1,68,1,1
637,"(0,0)",1,69,1,1
641,"(0,0)",1,70,1,1
645,"(0,0)",1,71,1,1
653,"(0,0)",1,59,1,1
657,"(0,0)",1,58,1,1
661,"(0,0)",1,57,1,1
665,"(0,0)",1,56,1,1
669,"(0,0)",1,55,1,1
673,"(0,0)",1,54,1,1
677,"(0,0)",1,53,1,1
681,"(0,0)",1,52,1,1
685,"(0,0)",1,51,1,1
689,"(0,0)",1,50,1,1
693,"(0,0)",1,49,1,1
701,"(0,0)",1,37,1,1
705,"(0,0)",1,38,1,1
709,"(0,0)",1,39,1,1
713,"(0,0)",1,40,1,1
717,"(0,0)",1,41,1,1
721,"(0,0)",1,42,1,1
725,"(0,0)",1,43,1,1
729,"(0,0)",1,44,1,1
733,"(0,0)",1,45,1,1
737,"(0,0)",1,46,1,1
741,"(0,0)",1,47,1,1
749,"(0,0)",1,35,1,1
753,"(0,0)",1,34,1,1
757,"(0,0)",1,33,1,1
761,"(0,0)",1,32,1,1
765,"(0,0)",1,31,1,1
769,"(0,0)",1,30,1,1
773,"(0,0)",1,29,1,1
777,"(0,0)",1,28,1,1
781,"(0,0)",1,27,1,1
785,"(0,0)",1,26,1,1
789,"(0,0)",1,25,1,1
797,"(0,0)",1,13,1,1
801,"(0,0)",1,14,1,1
805,"(0,0)",1,15,1,1
809,"(0,0)",1,16,1,1
813,"(0,0)",1,17,1,1
817,"(0,0)",1,18,1,1
821,"(0,0)",1,19,1,1
825,"(0,0)",1,20,1,1
829,"(0,0)",1,21,1,1
833,"(0,0)",1,22,1,1
837,"(0,0)",1,23,1,1
845,"(0,0)",1,11,1,1
849,"(0,0)",1,10,1,1
853,"(0,0)",1,9,1,1
857,"(0,0)",1,8,1,1
861,"(0,0)",1,7,1,1
865,"(0,0)",1,6,1,1
869,"(0,0)",1,5,1,1
873,"(0,0)",1,4,1,1
877,"(0,0)",1,3,1,1
881,"(0,0)",1,2,1,1
885,"(0,0)",1,1,1,0
1,"(1,0)",0,—,0,1
5,"(1,0)",1,0,1,1
13,"(1,0)",1,12,1,1
21,"(1,0)",1,24,1,1
29,"(1,0)",1,36,1,1
37,"(1,0)",1,48,1,1
45,"(1,0)",1,60,1,1
53,"(1,0)",1,72,1,1
61,"(1,0)",1,84,1,1
69,"(1,0)",1,96,1,1
77,"(1,0)",1,108,1,1
85,"(1,0)",1,120,1,1
93,"(1,0)",1,132,1,1
101,"(1,0)",1,144,1,1
109,"(1,0)",1,156,1,1
117,"(1,0)",1,168,1,1
125,"(1,0)",1,180,1,1
129,"(1,0)",1,181,1,1
133,"(1,0)",1,182,1,1
137,"(1,0)",1,183,1,1
141,"(1,0)",1,184,1,1
145,"(1,0)",1,185,1,1
149,"(1,0)",1,186,1,1
153,"(1,0)",1,187,1,1
157,"(1,0)",1,188,1,1
161,"(1,0)",1,189,1,1
165,"(1,0)",1,190,1,1
169,"(1,0)",1,191,1,1
177,"(1,0)",1,179,1,1
181,"(1,0)",1,178,1,1
185,"(1,0)",1,177,1,1
189,"(1,0)",1,176,1,1
193,"(1,0)",1,175,1,1
197,"(1,0)",1,174,1,1
201,"(1,0)",1,173,1,1
205,"(1,0)",1,172,1,1
209,"(1,0)",1,171,1,1
213,"(1,0)",1,170,1,1
217,"(1,0)",1,169,1,1
225,"(1,0)",1,157,1,1
229,"(1,0)",1,158,1,1
233,"(1,0)",1,159,1,1
237,"(1,0)",1,160,1,1
241,"(1,0)",1,161,1,1
245,"(1,0)",1,162,1,1
249,"(1,0)",1,163,1,1
253,"(1,0)",1,164,1,1
257,"(1,0)",1,165,1,1
261,"(1,0)",1,166,1,1
265,"(1,0)",1,167,1,1
273,"(1,0)",1,155,1,1
277,"(1,0)",1,154,1,1
