trace_mode,expected_makespan,sim_makespan,total_received,total_expected,buffer_full_stalls
hop,506,2028,2161,11280,0
tree,506,95,470,11280,0
hop,363,1742,2006,11280,0
tree,363,77,470,11280,0
hop,398,1812,2131,11280,0
tree,398,119,2820,11280,0
hop,331,1676,2036,11280,0
tree,331,101,2350,11280,0
hop,460,1935,2144,11280,0
tree,460,221,2115,11280,0
hop,268,1544,2254,11280,0
tree,268,171,2115,11280,0
hop,414,1843,2125,11280,0
tree,414,137,2115,11280,0
hop,559,2061,2256,11280,0
tree,559,121,1410,11280,0
hop,149,462,2256,2256,0
